promoId,rname,startDate,endDate,discount
White day item,Rocky's,2020-02-05,2020-09-10,55
Cool day snack,Popeye's Louisiana Kitchen,2020-06-08,2020-07-01,20
Perfect quarantine order,A&W All American Food,2020-01-20,2020-02-15,20
Great grab item,Mazatlan Mexican Restaurant,2020-04-05,2020-07-07,45
Romantic stay order,Sonic Drive In,2020-03-04,2020-05-21,50
White stay food,Spangles,2020-09-27,2020-10-17,40
White grab meal,Panera Bread,2020-03-02,2020-07-18,35
Romantic stay order,Toppers Pizza,2020-02-20,2020-10-17,35
Blue home food,South-A-Philly Steaks and Hoagies,2020-03-05,2020-09-08,20
White stay snack,Carl's Jr / Green Burrito,2020-06-08,2020-08-05,15
Super home snack,Hardees,2020-08-17,2020-10-05,30
Special day food,Royal Buffet,2020-01-02,2020-04-03,45
Crazy holiday food,Sonic Drive-in (trailer),2020-03-06,2020-09-30,10
Smart vacay food,Raising Cane's Chicken Fingers,2020-06-10,2020-10-19,15
Chill grab item,Kum & Go,2019-11-23,2020-07-28,20
Chill vacay snack,Arctic Circle,2020-08-16,2020-09-13,40
Special grab food,Great Steak,2020-03-27,2020-04-22,40
Great grab snack,Ernie's All American Burger,2019-11-10,2020-03-28,50
Special rest snack,Scoopers,2020-04-17,2020-08-02,5
Crazy home order,Pizza Factory,2020-09-20,2020-10-17,10
Chill vacay order,Long John Silver/ A&W,2020-04-02,2020-04-30,20
Chill holiday item,Subway Sandwiches,2019-12-11,2020-10-31,15
Cool stay snack,Mario's Natural Roman Pizza,2020-01-09,2020-06-30,25
Super quarantine order,Breadeaux Pizza,2020-05-27,2020-08-29,25
Cool home order,Fitness 19,2020-07-23,2020-07-31,20
Chill day item,Furr's,2020-02-15,2020-08-18,25
Great vacay snack,A&w Restaurant,2020-04-04,2020-09-24,35
White home food,Nick's Burgers,2020-07-26,2020-09-23,15
Romantic stay food,Thunder Ridge Ampride,2020-05-23,2020-07-24,55
White day food,Teddy's Bigger Burgers,2020-09-12,2020-10-13,15
Perfect rest item,Northeastern State University,2020-03-20,2020-06-15,25
Special grab item,Music City Subs,2020-02-06,2020-08-11,25
Smart holiday meal,Steak 'n Shake,2020-03-04,2020-07-17,45
Romantic rest order,White Castle,2019-11-11,2020-04-06,20
Hot holiday food,Thrashers French Fries,2020-01-11,2020-01-29,55
Smart vacay food,Popeye's Chicken,2020-03-16,2020-09-06,30
Super vacay meal,Quick,2019-11-22,2020-05-21,20
Hot day item,Waffle House,2020-03-05,2020-05-26,20
White vacay order,Jimmy John's,2020-05-11,2020-09-21,45
Crazy holiday meal,Steak 'N Shake,2020-07-08,2020-07-19,25
Hot grab food,Arby's,2020-02-06,2020-02-06,35
Good grab snack,P. Terry's,2020-02-22,2020-10-03,35
Super holiday snack,Waffle House,2019-12-27,2020-09-22,25
Cool quarantine meal,Sarku Japan,2019-11-08,2020-09-07,50
Crazy vacay item,Popeyes Chicken and Biscuits,2020-05-26,2020-09-30,30
Special day item,Hometown Buffet,2020-08-08,2020-09-20,15
Smart rest snack,Baskin-Robbins,2020-08-16,2020-10-11,40
Good stay snack,Jacks Grocery,2019-12-16,2020-01-19,30
Romantic stay item,Qdoba Mexican Grill,2020-05-01,2020-05-05,55
Smart holiday snack,Skyline Chili,2020-03-14,2020-08-22,10
Special vacay order,Mcdonald's,2020-02-18,2020-09-27,30
Cool quarantine food,Seaside Eatery,2020-03-04,2020-03-06,45
Cool grab item,BIG & little's Restaurant,2020-08-08,2020-10-03,10
Chill quarantine meal,Portillo's,2020-02-07,2020-07-10,10
Crazy rest snack,Fred's Store,2020-10-20,2020-10-30,50
Perfect quarantine order,McDonald's,2019-11-01,2019-12-16,20
Super grab order,Charcoal Delights,2019-12-16,2020-09-06,45
Amazing vacay meal,Little Caesar's Pizza Smithfield,2019-12-19,2020-04-28,25
Cool vacay food,A & W Family Restaurant,2019-11-01,2020-07-13,45
Amazing home item,In-A-Tub,2020-06-23,2020-10-11,10
Romantic quarantine snack,The People Connection,2020-08-17,2020-09-24,55
Super holiday item,Granny's Drive-In,2019-12-12,2020-06-03,35
Amazing vacay meal,Sheetz,2019-12-19,2020-04-14,30
White stay snack,Long John Silver/ A&W,2019-12-19,2020-05-04,35
Special vacay order,Red Robin Gourmet Burgers,2020-02-15,2020-05-21,40
Special holiday order,Tom's Drive In,2020-05-21,2020-07-13,50
Cool grab food,Sonic Drive In,2020-02-14,2020-04-08,30
Hot stay snack,Kum & Go,2019-11-30,2020-07-26,55
Special day food,Omelette House,2019-12-09,2019-12-30,35
Special grab meal,Hometown Buffet,2020-01-07,2020-07-06,45
Smart day order,Chick-fil-a Magnolia Mall,2020-01-06,2020-02-14,50
Chill day order,AJ's Hotdogs & Gyros,2019-11-11,2020-07-30,5
Amazing quarantine meal,Spangle's,2020-05-06,2020-10-04,5
Good rest meal,Great Steak,2020-02-07,2020-07-29,45
Cool grab meal,Stars Drive-In,2020-02-14,2020-05-28,35
Great rest snack,Kentucky Fried Chicken,2019-12-30,2020-06-15,55
Amazing quarantine item,Jason's Deli,2019-12-19,2020-09-13,5
Super grab item,Qdoba Mexican Eats,2019-12-16,2020-05-17,55
Cool grab food,Shot Tower Inn,2020-02-09,2020-07-27,40
Super day meal,Wendy's,2020-06-27,2020-09-27,45
Perfect grab item,Hungry Andy's,2020-05-14,2020-08-18,25
Good vacay meal,Subway Citgo of Quarryville,2020-04-02,2020-07-23,55
Crazy day item,Boston Chowda Company,2020-03-05,2020-06-01,30
Blue holiday order,SONIC Drive In,2020-02-29,2020-03-16,45
Hot vacay item,B. Good,2020-02-23,2020-04-23,30
Smart home item,Frisch's Big Boy,2019-11-13,2019-11-19,10
Blue stay snack,Greyhound,2019-11-30,2020-03-31,10
Blue stay food,Chipotle Mexican Grill,2020-03-23,2020-08-27,50
Amazing quarantine meal,Dq Grill & Chill,2019-12-15,2020-10-16,15
Great vacay food,Isabella's Pizzeria,2020-02-01,2020-04-07,5
Good holiday food,Mr Hero,2020-07-17,2020-09-23,40
Crazy vacay order,Subway Citgo of Quarryville,2020-05-21,2020-06-24,20
Special day meal,name,2019-11-30,2020-04-14,50
Special vacay snack,The Chicken Place,2020-10-13,2020-10-22,10
Good vacay meal,Burgerville,2019-12-26,2020-08-05,15
Blue stay order,Gold Star Chili,2020-02-13,2020-07-20,25
Crazy grab meal,Jollibee,2019-11-05,2020-06-02,45
Smart grab item,Aw Restaurant,2019-12-19,2020-10-20,25
Smart rest meal,Round Table Pizza,2020-10-16,2020-10-21,20
White vacay snack,Taco Bell/Pizza Hut Express,2020-03-21,2020-09-19,40
White home snack,LocoL,2020-01-09,2020-10-06,5
Hot rest snack,Kum Go,2020-03-14,2020-10-27,30
White rest meal,Blondies,2020-01-30,2020-02-07,30
Perfect quarantine snack,Geno's Fast Break,2020-04-29,2020-05-26,30
White stay meal,Quick,2020-07-21,2020-09-03,50
Crazy quarantine item,Integrated Therapy Specialists: Arnold D Larson,2020-03-04,2020-05-24,25
Great vacay food,Travelcenters of America,2020-07-08,2020-08-22,30
Great home order,Arbys,2020-09-26,2020-10-28,50
Good rest item,Rally's Hamburgers,2020-07-22,2020-09-04,30
Romantic vacay order,Braum's,2019-12-29,2020-04-07,5
Cool home item,Shepard's Drive-In,2020-02-18,2020-09-05,40
Chill rest item,Dominos Pizza,2020-03-08,2020-04-23,50
Crazy home order,Car's Late Night Delivery,2020-06-18,2020-07-21,25
Amazing rest item,Ziti's Italian Express,2019-12-15,2020-06-13,10
Great home item,Backyard Burgers,2019-11-26,2020-03-22,35
Romantic holiday snack,KFC - Kentucky Fried Chicken,2020-09-26,2020-10-24,30
Crazy vacay food,Geno's Fast Break,2020-06-10,2020-07-11,40
Good rest item,B Z Breakfast Burgers Beyond,2020-04-29,2020-05-11,15
White rest food,Charcoal Delights,2020-01-03,2020-03-11,10
Crazy grab meal,Chuck Wagon,2020-07-01,2020-08-28,5
Super quarantine food,Jollibee,2020-03-04,2020-05-06,45
Amazing quarantine meal,Cherry Hill Drive In Ice Cream,2020-02-09,2020-06-07,55
Great holiday food,Osgood's,2020-05-26,2020-06-01,30
Perfect stay snack,Flash Foods / McDonald's,2020-04-05,2020-07-21,35
Romantic day snack,Richie's Restaurant,2020-02-18,2020-10-30,45
Blue stay snack,Sammy Carry-Out,2020-06-28,2020-08-23,25
Amazing quarantine meal,Dairy Queen,2020-07-31,2020-08-17,10
Hot rest snack,Taco John's,2020-06-17,2020-08-28,30
Perfect home snack,Peking Wok,2020-01-25,2020-07-24,50
Blue grab order,Famous Dave's,2020-02-13,2020-06-23,5
Great home order,Church's Chicken,2020-02-14,2020-10-12,35
Special holiday meal,Taco Cabana,2019-12-31,2020-04-16,25
Amazing grab meal,Charcoal Delights,2020-01-06,2020-06-28,50
Special vacay item,Sammy Carry-Out,2020-04-24,2020-07-21,55
White day item,Hardee's / Red Burrito / Dough Boys,2020-05-31,2020-08-23,35
Chill home item,A&W All-American Foods,2020-05-11,2020-07-08,10
Hot vacay item,Hermosa,2019-12-26,2020-07-24,10
Special stay item,Crystal Restaurant,2020-05-18,2020-09-23,35
Chill stay food,Nick's Gyros,2020-06-08,2020-07-25,30
Crazy grab order,Pollo Campero,2019-12-03,2020-02-07,25
White grab snack,Rally's Hamburgers,2020-02-18,2020-06-24,5
Great home snack,Los Verdes,2020-04-02,2020-09-16,45
Perfect home snack,Taco Delight,2020-01-29,2020-06-02,55
Hot stay meal,Moe's Original Bar B Que,2020-07-13,2020-09-16,25
Special grab snack,Bob Evans Restaurant,2020-05-12,2020-09-17,5
Good day meal,SONIC Drive-In,2019-12-28,2020-05-19,30
Blue holiday snack,Northeastern State University,2020-01-16,2020-06-21,15
Blue rest snack,Taco Del Mar,2020-05-25,2020-05-29,20
Perfect vacay meal,Runza,2019-12-17,2020-07-16,40
Blue day food,In-N-Out Burger,2020-05-24,2020-08-10,55
Smart quarantine order,Froots,2020-02-27,2020-10-10,30
White day meal,Pizza Express,2019-12-25,2020-07-18,40
Chill day food,Charlie's Chicken,2020-01-24,2020-03-04,40
Perfect quarantine snack,ShopRite,2019-11-06,2020-07-23,10
Chill rest order,Ryan's,2019-12-15,2020-10-05,15
Good vacay meal,Woody's Sloppy Dogs,2020-06-05,2020-09-05,40
Cool rest order,Music City Subs,2019-11-10,2020-10-12,55
Amazing holiday meal,Raising Cane's,2020-06-28,2020-07-08,45
Blue grab food,Mcalister's Deli,2020-03-29,2020-04-29,40
Blue day meal,DQ Woodlands,2019-12-12,2020-02-27,35
White home order,Los Verdes,2020-04-23,2020-09-13,50
Blue quarantine snack,Buds Chicken & Seafood,2020-09-26,2020-10-06,20
Crazy home item,Gabby's Burgers & Fries,2020-02-14,2020-10-14,30
Special stay meal,Yellow Cab Pizza Co.,2020-04-05,2020-10-14,10
White home item,Fitness 19,2020-04-02,2020-10-05,20
Chill home order,Carl's Jr. / Green Burrito,2019-11-10,2020-03-25,45
Hot stay meal,Everest,2019-11-30,2020-08-24,15
Perfect quarantine order,Papa John's,2020-09-27,2020-10-10,25
Crazy quarantine item,Cinnabon,2019-11-07,2019-12-25,30
White vacay order,Papa Johns,2020-06-26,2020-08-18,45
Crazy stay meal,Cousins Subs of Green Bay - Oneida St. & Ramada Way,2020-01-04,2020-02-14,20
Chill holiday order,Hegenburgers,2020-02-08,2020-02-14,50
Smart holiday meal,Long John Silvers / A&W,2019-11-11,2020-03-09,25
Special holiday food,DQ Grill & Chill / Orange Julius,2019-11-19,2020-08-19,20
Perfect vacay snack,Kum & Go,2019-12-15,2019-12-27,15
Blue grab food,Old Country Buffet,2020-01-23,2020-08-05,5
Amazing vacay snack,Penn Station East Coast Subs,2020-06-11,2020-07-06,55
Crazy rest order,Mocha Express,2020-06-15,2020-08-17,50
Blue day snack,Dominos Pizza,2019-12-28,2020-01-20,5
Blue holiday order,Freddy's Steakburger,2020-03-29,2020-08-29,15
Amazing vacay meal,Home Town Buffet,2020-06-08,2020-07-27,15
Romantic vacay meal,Bojangles' Famous Chicken 'n Biscuits,2019-11-28,2020-09-04,35
Cool stay meal,Flip Burger Bar,2019-12-13,2020-08-28,35
Perfect quarantine food,Nick's Burgers,2019-12-26,2020-07-10,45
Chill quarantine order,Arby's,2020-03-26,2020-09-03,40
White vacay item,Don & Millie's,2020-05-06,2020-10-15,50
Amazing day food,Dan's Seafood & Chicken,2020-02-15,2020-07-11,10
Romantic home item,Portillo's,2020-06-13,2020-08-29,55
Smart holiday food,Blakes Lotaburger,2020-03-21,2020-06-30,35
Blue quarantine snack,Roly Poly,2019-11-05,2020-08-05,30
Hot grab order,Roly Poly,2020-05-10,2020-06-16,40
Smart vacay item,Smashburger,2020-05-10,2020-06-25,20
Amazing day food,Mcalister's Deli,2020-06-04,2020-06-18,30
Chill holiday food,Tasty Carryout,2020-05-15,2020-05-26,10
Amazing vacay item,Popeye's,2020-07-18,2020-10-11,45
Great stay item,Madison Street Subs,2019-12-15,2020-06-02,40
Amazing grab snack,KFC,2020-04-21,2020-09-25,5
Hot stay meal,Checker's Hamburgers,2020-03-16,2020-07-06,55
Perfect vacay meal,Taco Time,2019-12-03,2020-10-13,15
Special holiday snack,Loco Moco Drive-Inn,2020-02-14,2020-06-06,20
Amazing rest item,Mcdonalds,2020-04-28,2020-05-20,45
Smart stay snack,Taco Local,2019-11-11,2020-01-14,50
Great day meal,Great Steak & Potato Co,2020-06-07,2020-08-17,55
Good holiday order,Chick-fil-A,2020-04-08,2020-08-28,45
Cool quarantine item,Popeyes Chicken & Biscuits,2019-12-22,2020-01-09,20
Crazy grab item,Tom & Jerry's,2020-04-23,2020-10-06,55
Hot day meal,The Pita Pit,2019-11-08,2020-07-22,55
Perfect rest snack,31st Avenue Gyro,2020-06-08,2020-10-17,10
Crazy day item,Wendy Two Two Eight,2020-02-06,2020-06-30,45
Cool grab snack,Hub City Express,2020-04-14,2020-06-23,55
Perfect vacay snack,Raising Cane's Chicken Fingers,2020-05-29,2020-08-11,55
Special day order,Tudor's Biscuit World,2019-11-17,2020-07-11,25
Perfect quarantine item,Jack in the Box,2019-11-30,2020-06-13,25
Romantic holiday food,name,2020-01-12,2020-07-31,35
Perfect rest meal,Arbys,2020-06-10,2020-07-02,30
Cool quarantine order,Jack In The Box,2020-05-21,2020-09-26,35
Great stay snack,Aprisa Mexican Cuisine,2020-01-30,2020-02-11,45
Perfect grab item,Thunder Ridge Ampride,2020-06-08,2020-07-02,40
Amazing day food,Rally's,2019-12-16,2020-04-05,40
Super stay order,Tudor's Biscuit World,2019-11-18,2020-05-17,25
Blue quarantine item,Saladworks,2020-05-19,2020-06-06,40
Amazing holiday food,Sonic Drive-In,2019-11-05,2019-12-10,40
Super rest item,Tropical Smoothie Cafe,2019-11-12,2020-09-11,40
Hot quarantine order,Baja Fresh Mexican Grill,2020-03-04,2020-07-02,50
Hot quarantine snack,Hometown Buffet,2020-02-28,2020-07-25,5
Amazing rest item,7-Eleven,2019-12-15,2020-01-09,10
Chill holiday item,Arby's Antigo,2020-03-24,2020-03-31,15
White day food,Spangles,2020-01-25,2020-05-31,25
Perfect day item,Papa Johns,2019-11-29,2020-03-15,20
Special home order,Wienerschnitzel,2020-02-25,2020-10-12,40
Chill vacay item,Sunrise Cafe,2020-01-13,2020-05-17,5
Great quarantine food,BIG & little's Restaurant,2020-09-03,2020-09-16,15
Special day meal,Ll Hawaiian Barbecue,2020-01-14,2020-06-12,30
Smart rest food,Rocky's,2020-05-20,2020-06-16,10
Great home item,Subway - Bell's Ferry,2020-08-24,2020-09-23,5
Crazy grab snack,Lee's Famous Recipe Chicken,2019-12-27,2020-06-20,30
Romantic day order,P. Terry's,2020-10-01,2020-10-21,5
Chill home snack,Love's,2020-09-03,2020-09-05,45
Hot quarantine food,Hub City Express,2019-11-24,2020-03-20,20
Chill day snack,Papagus Gyros,2020-05-12,2020-10-12,30
Blue grab food,Luna Corner Pizza,2020-05-17,2020-09-16,30
White home order,Shoney's on the Go,2020-08-05,2020-09-22,45
Smart quarantine meal,Teddy's Bigger Burgers,2020-08-12,2020-09-26,25
Perfect vacay food,Siam To Go,2019-11-28,2020-09-17,15
Perfect quarantine food,Carl's Jr,2020-01-25,2020-06-24,15
Special rest meal,Chuck Wagon,2019-12-28,2020-02-04,25
Smart vacay snack,Frugal's,2020-04-29,2020-07-30,40
Special quarantine order,Subway (johnson) @ Jonesboro,2020-01-08,2020-06-30,15
Good vacay snack,Cafe Rio,2020-05-26,2020-09-26,30
Hot rest snack,Furr's,2019-12-05,2020-09-12,30
White quarantine snack,Roly Poly,2020-04-09,2020-06-12,35
Crazy grab item,Convergence Zone,2020-04-29,2020-10-05,55
Super day meal,Captain D's,2020-05-21,2020-09-21,35
Cool grab snack,Pop-A-Nugget,2020-02-29,2020-04-09,20
Blue grab item,Del Taco,2020-03-11,2020-08-05,55
White quarantine snack,DQ Grill & Chill,2020-06-07,2020-08-30,45
Romantic quarantine item,Tom & Jerry's,2019-12-13,2020-06-18,25
Perfect quarantine food,Simmies Arirang Hill Cheese Steak,2020-06-12,2020-06-24,15
Crazy day meal,Culver's,2019-12-10,2020-10-20,30
Good stay meal,Blake's LotaBurger,2020-07-30,2020-09-11,5
Cool stay item,Wingstreet,2020-05-06,2020-07-06,25
Great quarantine item,Everest,2019-11-30,2020-05-19,25
Blue quarantine order,7-11,2020-04-16,2020-07-11,25
Chill day snack,Freddy's Steakburger,2020-06-26,2020-09-10,35
Cool holiday food,Taco Time,2020-04-29,2020-10-23,15
Crazy rest item,Checker's Drive-in Restaurant,2020-06-12,2020-07-21,50
White home food,El Pollo Loco,2020-02-03,2020-02-09,40
Great vacay food,Carl's Jr - Green Burrito,2019-11-12,2020-06-26,25
Perfect day meal,Jolly's Drive-In,2019-11-26,2020-04-29,50
Hot rest order,Osgood's,2020-08-05,2020-08-20,45
Super grab snack,McLaren's Pantry,2020-07-10,2020-09-09,55
Great holiday meal,Bamboo Bistro,2019-12-12,2020-02-25,50
Amazing holiday meal,Round Table Pizza,2020-03-07,2020-07-20,30
Smart home food,Popeyes,2019-11-13,2019-12-17,10
Perfect day meal,Hometown Buffet,2019-11-05,2020-07-11,10
Chill home food,A&W All American Food,2019-11-16,2019-12-22,30
Good day meal,Hardees,2020-03-03,2020-06-18,10
Hot home food,Long John Silver's,2020-09-05,2020-10-06,5
Hot rest meal,Subway Citgo of Quarryville,2020-02-29,2020-09-29,35
Perfect vacay food,J J Fish and Chicken,2020-04-17,2020-07-23,30
White day snack,Fred's Store,2020-02-13,2020-07-19,40
Perfect day order,D'angelo Grilled Sandwiches,2020-04-09,2020-04-12,35
Great rest snack,Madison Street Subs,2020-04-23,2020-09-12,25
Amazing home meal,The Biscuit Factory,2019-11-30,2020-09-27,5
Good holiday snack,Checkers,2019-12-09,2019-12-26,30
Blue holiday food,St Louis Original Hamburgers,2020-05-29,2020-10-24,25
Good vacay food,L&L Hawaiian Barbecue,2020-07-22,2020-09-05,30
Good holiday meal,McDonalds @ Old Atlanta,2019-12-19,2020-05-04,50
Super home snack,Papagus Gyros,2020-05-21,2020-10-22,30
Chill grab order,The Break Away Sports Cafe,2020-02-24,2020-07-04,10
Good stay order,Hot Dog On A Stick,2019-11-11,2020-03-20,25
Perfect holiday snack,Farmer Boys,2020-06-23,2020-07-08,50
Crazy day order,Wienerschnitzel,2019-12-19,2020-06-08,50
Chill day item,Carl's Jr,2020-02-07,2020-05-27,50
Perfect holiday order,QDOBA Mexican Eats,2020-05-27,2020-10-03,20
Great quarantine food,Toppers Pizza,2019-12-22,2019-12-22,30
Blue day food,Hardee's / Red Burrito,2019-11-03,2020-02-04,40
Special grab order,Port Of Subs,2020-01-03,2020-05-27,20
White holiday food,Hot Dog Heaven,2020-08-08,2020-09-14,15
Good quarantine item,Panda,2019-11-13,2020-04-24,30
Chill holiday item,Geno's Fast Break,2019-11-19,2020-10-17,55
Hot quarantine food,Whataburger,2019-12-26,2020-09-28,50
Great stay order,Chicago Union Station Food Court,2020-02-06,2020-07-06,55
Romantic stay order,Tom's Drive In,2020-02-03,2020-06-01,55
White quarantine item,Taco Cabana,2020-02-18,2020-09-03,20
Perfect holiday order,King Grill,2020-01-17,2020-08-25,40
Hot stay item,OMG! Rotisserie,2019-12-26,2020-04-15,20
Cool stay item,Siam To Go,2020-08-02,2020-10-31,40
Hot grab item,Ball State Lafollette Dining,2020-04-27,2020-07-23,20
Great quarantine snack,King Grill,2019-11-09,2020-08-16,50
Perfect holiday order,Sheetz,2020-10-12,2020-10-20,30
Special day meal,J J Fish and Chicken,2019-11-30,2020-07-28,15
White vacay item,Back Yard Burgers,2020-07-27,2020-08-28,50
Good rest snack,Simmies Arirang Hill Cheese Steak,2020-04-01,2020-08-09,50
Cool vacay snack,Baskin-Robbins,2019-11-25,2020-08-17,20
Chill vacay meal,DQ Woodlands,2020-04-22,2020-10-10,40
White holiday food,Chick-Fil-A,2020-07-21,2020-07-21,15
Amazing rest food,Popeyes Louisiana Kitchen,2019-12-19,2020-01-19,5
Amazing holiday item,Jollibee,2020-06-15,2020-09-27,35
Smart vacay food,Bills Place,2019-12-27,2020-05-31,30
Special holiday food,Cook Out,2019-12-24,2020-10-17,20
Romantic grab item,Skyline Chili,2019-12-28,2020-07-19,30
Special stay item,Dino's Gyros,2020-01-02,2020-03-01,35
Great vacay food,Mcdonalds,2019-11-02,2020-05-01,30
Good vacay item,Ben & Jerry's,2019-12-18,2020-05-11,50
Smart grab food,Sonic,2020-04-18,2020-07-16,30
Great rest order,Goodcents Deli Fresh Subs,2019-12-29,2020-04-05,30
Cool home order,Pizza Express,2020-02-06,2020-08-27,5
White vacay food,McDonalds,2019-11-05,2020-04-21,10
Super holiday meal,Circle Drive In,2019-12-10,2020-01-24,35
White quarantine order,Chick-fil-a Truett's Luau,2020-06-25,2020-06-28,50
Great vacay snack,Great Steak And Potato Co,2019-12-16,2020-06-17,20
Hot holiday order,Smashburger,2019-12-29,2020-03-23,55
Blue holiday order,Jack In The Box,2019-12-05,2020-09-26,15
Amazing stay meal,Church's Chicken,2020-07-04,2020-10-05,25
White home snack,Bills Place,2019-12-03,2020-07-31,5
Cool home meal,Bojangles' Famous Chicken 'n Biscuits,2020-06-12,2020-07-21,55
Romantic grab snack,Pete's Burgers,2020-02-16,2020-10-18,30
Super stay snack,Papa John's,2020-03-25,2020-09-23,35
